# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: gm_fesiugstesting
# Exported by: Fesiug
setting:	replacespawns 0
ttt_random_weapon	422.479095 -822.860535 -127.968750	24.948 0.462 0.000
ttt_random_weapon	427.479980 -883.034973 -127.968750	24.926 0.374 0.000
ttt_random_weapon	427.942444 -943.689758 -127.968750	25.113 0.099 0.000
ttt_random_weapon	428.426453 -1003.767639 -127.968750	25.124 0.066 0.000
ttt_random_weapon	425.505127 -1076.334351 -127.968750	25.641 359.824 0.000
ttt_random_weapon	419.189209 -1196.889526 -127.968750	26.609 359.604 0.000
ttt_random_weapon	379.336914 -1247.277222 -127.968750	27.687 359.516 0.000
ttt_random_weapon	357.976501 -1200.458008 -127.968750	28.006 359.648 0.000
ttt_random_weapon	354.388519 -1140.434692 -127.968750	28.006 359.648 0.000
ttt_random_weapon	353.655243 -1080.429199 -127.968750	28.006 359.648 0.000
ttt_random_weapon	353.705627 -996.427979 -127.968750	28.028 359.648 0.000
ttt_random_weapon	354.022980 -936.428772 -127.968750	28.028 359.648 0.000
ttt_random_weapon	354.377289 -876.429993 -127.968750	28.028 359.648 0.000
ttt_random_weapon	351.044342 -804.376709 -127.968750	28.204 359.670 0.000
ttt_random_weapon	292.937256 -758.508118 -127.968750	29.645 359.538 0.000
ttt_random_weapon	274.477417 -801.614258 -127.968750	29.700 359.538 0.000
ttt_random_weapon	268.073029 -885.523987 -127.968750	29.700 359.560 0.000
ttt_random_weapon	266.779022 -945.515930 -127.968750	29.700 359.560 0.000
ttt_random_weapon	265.381989 -1077.422974 -127.968750	29.722 359.604 0.000
ttt_random_weapon	264.859070 -1149.421509 -127.968750	29.722 359.604 0.000
ttt_random_weapon	263.603821 -1221.499756 -127.968750	29.799 359.604 0.000
ttt_random_weapon	639.968689 -1285.662964 -381.746216	31.273 359.648 0.000
ttt_random_weapon	181.365051 -1256.691650 -127.968750	32.120 0.066 0.000
ttt_random_weapon	172.768646 -1185.916016 -127.968750	32.120 0.066 0.000
ttt_random_weapon	170.832855 -1102.074219 -127.968750	32.098 359.978 0.000
ttt_random_weapon	170.553238 -1042.074219 -127.968750	32.098 359.978 0.000
ttt_random_weapon	170.488174 -958.074219 -127.968750	32.098 359.978 0.000
ttt_random_weapon	170.500519 -886.074219 -127.968750	32.098 359.978 0.000
ttt_random_weapon	170.524872 -814.074219 -127.968750	32.098 359.978 0.000
ttt_random_weapon	170.149338 -741.989075 -127.968750	32.098 359.978 0.000
ttt_random_weapon	107.493225 -708.853210 -127.968750	37.796 359.626 0.000
ttt_random_weapon	91.918297 -758.193176 -127.968750	38.632 359.461 0.000
ttt_random_weapon	87.520401 -817.008423 -127.968750	39.600 359.230 0.000
ttt_random_weapon	112.516884 -842.496460 -127.968750	44.022 356.964 0.000
ttt_random_weapon	109.378189 -921.931946 -127.968750	51.777 357.679 0.000
ttt_random_weapon	107.663200 -993.368958 -127.968750	52.580 358.306 0.000
ttt_random_weapon	108.278976 -1051.854858 -127.968750	51.612 0.066 0.000
ttt_random_weapon	108.168396 -1123.679077 -127.968750	51.458 0.264 0.000
ttt_random_weapon	108.275192 -1183.679199 -127.968750	51.458 0.264 0.000
ttt_random_weapon	129.021637 -1240.139771 -127.968750	51.425 0.242 0.000
ttt_random_ammo	672.810120 -1133.586304 -127.968750	21.186 268.733 0.000
ttt_random_ammo	758.988831 -1122.378296 -127.968750	22.770 274.046 0.000
ttt_random_ammo	812.186523 -1120.911255 -127.968750	22.704 271.494 0.000
ttt_random_ammo	881.677490 -1120.126221 -127.968750	22.550 270.559 0.000
ttt_random_ammo	947.229126 -1119.002808 -127.968750	22.638 268.150 0.000
ttt_random_ammo	1055.996094 -1109.927002 -127.968750	23.617 267.193 0.000
ttt_random_ammo	1074.954468 -1055.931519 -127.968750	24.629 267.006 0.000
ttt_random_ammo	1065.968872 -991.082275 -127.968750	24.992 267.072 0.000
ttt_random_ammo	1000.248657 -973.812073 -127.968750	24.948 267.160 0.000
ttt_random_ammo	929.510254 -994.538452 -127.968750	25.014 267.226 0.000
ttt_random_ammo	857.095764 -1004.256226 -127.968750	25.179 267.116 0.000
ttt_random_ammo	783.551086 -1044.971191 -127.968750	25.608 267.006 0.000
ttt_random_ammo	710.213501 -1053.798706 -127.968750	26.026 266.566 0.000
ttt_random_ammo	626.238708 -1015.287170 -127.968750	26.026 266.456 0.000
ttt_random_ammo	613.698242 -944.131226 -127.968750	26.125 266.610 0.000
ttt_random_ammo	677.682434 -907.085205 -127.968750	26.158 266.676 0.000
ttt_random_ammo	761.933411 -905.202332 -127.968750	26.158 266.676 0.000
ttt_random_ammo	905.816101 -912.262329 -127.968750	26.158 266.698 0.000
ttt_random_ammo	977.698853 -916.369019 -127.968750	26.158 266.698 0.000
ttt_random_ammo	1061.301147 -917.655151 -127.968750	26.158 266.698 0.000
ttt_random_ammo	1090.064941 -855.724854 -127.968750	26.444 266.489 0.000
ttt_random_ammo	1043.335815 -804.082031 -127.968750	26.598 266.522 0.000
ttt_random_ammo	975.556213 -789.225098 -127.968750	26.400 268.073 0.000
ttt_random_ammo	905.259216 -784.384399 -127.968750	26.334 268.788 0.000
ttt_random_ammo	821.919800 -781.429260 -127.968750	26.411 269.063 0.000
ttt_random_ammo	738.936462 -781.007690 -127.968750	26.246 269.514 0.000
ttt_random_ammo	666.647949 -779.625854 -127.968750	26.356 269.382 0.000
ttt_random_ammo	606.728088 -779.628174 -127.968750	26.356 269.382 0.000
ttt_random_ammo	572.977173 -826.508179 -127.968750	26.554 269.448 0.000
ttt_random_ammo	649.255493 -834.790588 -127.968750	28.809 271.505 0.000
ttt_random_ammo	722.049927 -835.472717 -127.968750	29.040 271.868 0.000
ttt_random_ammo	806.058716 -829.790344 -127.968750	29.887 271.945 0.000
ttt_random_ammo	878.586243 -825.493164 -127.968750	30.305 272.275 0.000
ttt_random_ammo	950.418945 -820.371094 -127.968750	30.844 272.264 0.000
ttt_random_ammo	981.103271 -1066.075317 -127.968750	32.868 271.824 0.000
ttt_random_ammo	915.942627 -1081.401855 -127.968750	33.429 270.570 0.000
ttt_random_ammo	842.419861 -1087.768433 -127.968750	34.485 269.668 0.000
ttt_random_ammo	770.392578 -1089.176392 -127.968750	34.617 269.657 0.000
ttt_random_ammo	697.716431 -1088.975586 -127.968750	34.672 269.239 0.000
ttt_random_ammo	619.538879 -1058.841553 -127.968750	35.090 268.898 0.000
ttt_random_ammo	627.164368 -999.399536 -127.968750	35.585 269.239 0.000
ttt_random_ammo	698.485657 -991.558838 -127.968750	34.628 270.636 0.000
ttt_random_ammo	764.069458 -1022.338562 -127.968750	34.683 270.647 0.000
ttt_random_ammo	847.756042 -1039.341553 -127.968750	34.980 270.790 0.000
ttt_random_ammo	929.267578 -1022.058472 -127.968750	34.991 270.823 0.000
ttt_random_ammo	962.199280 -954.050171 -127.968750	35.046 270.372 0.000
ttt_random_ammo	899.797058 -908.192871 -127.968750	34.958 269.954 0.000
ttt_random_ammo	817.546082 -914.343323 -127.968750	34.914 269.888 0.000
ttt_random_ammo	744.661926 -959.285522 -127.968750	34.804 269.734 0.000
ttt_random_ammo	662.260620 -957.201111 -127.968750	34.782 269.558 0.000
ttt_random_ammo	619.737427 -896.583496 -127.968750	34.738 269.492 0.000
ttt_random_ammo	664.474854 -848.082764 -127.968750	34.738 269.492 0.000
ttt_random_ammo	748.298523 -839.040710 -127.968750	34.793 269.690 0.000
ttt_random_ammo	825.122437 -877.740601 -127.968750	34.826 269.756 0.000
ttt_random_ammo	907.731201 -875.061951 -127.968750	34.914 270.053 0.000
ttt_random_ammo	984.549805 -815.806091 -127.968750	34.958 270.130 0.000
ttt_random_ammo	1031.167969 -755.117249 -127.968750	34.958 270.130 0.000
ttt_random_ammo	964.725342 -710.969849 -127.968750	34.958 270.130 0.000
ttt_random_ammo	896.028809 -732.528137 -127.968750	34.870 269.866 0.000
ttt_random_ammo	812.857178 -753.289307 -127.968750	35.739 269.019 0.000
ttt_random_ammo	740.464783 -755.566711 -127.968750	35.893 268.799 0.000
ttt_random_ammo	656.243652 -751.879395 -127.968750	36.806 268.612 0.000
ttt_random_ammo	585.353516 -755.320618 -127.968750	37.884 268.700 0.000
ttt_random_ammo	537.680237 -822.174377 -127.968750	37.466 268.524 0.000
ttt_random_ammo	538.451416 -906.355835 -127.968750	37.026 269.976 0.000
ttt_random_ammo	563.665955 -988.621277 -127.968750	37.004 269.778 0.000
ttt_random_ammo	567.817383 -1072.843506 -127.968750	36.938 269.668 0.000
ttt_random_ammo	583.664856 -1153.390137 -127.968750	37.444 270.669 0.000
ttt_random_ammo	648.933228 -1183.166504 -127.968750	38.412 273.606 0.000
ttt_random_ammo	733.295105 -1186.265137 -127.968750	38.412 273.606 0.000
ttt_random_ammo	817.216919 -1182.381836 -127.968750	38.412 273.606 0.000
ttt_random_ammo	911.875122 -1177.107300 -127.968750	38.313 272.759 0.000
ttt_random_ammo	982.326721 -1165.311035 -127.968750	38.676 272.253 0.000
ttt_random_ammo	1038.922241 -1123.833374 -127.968750	38.093 270.449 0.000
ttt_random_ammo	1081.275024 -1053.944336 -127.968750	38.060 269.096 0.000
ttt_random_ammo	1090.178345 -982.075867 -127.968750	38.060 269.107 0.000
ttt_random_ammo	1093.632568 -886.117554 -127.968750	38.060 269.184 0.000
ttt_random_ammo	1067.981445 -806.805603 -127.968750	38.170 269.459 0.000
ttt_random_ammo	1019.744202 -753.864319 -127.968750	38.192 269.470 0.000
ttt_random_ammo	936.985168 -734.443787 -127.968750	38.192 269.470 0.000
ttt_random_ammo	852.735352 -730.775269 -127.968750	38.104 269.272 0.000
ttt_random_ammo	768.747803 -729.256409 -127.968750	38.104 269.272 0.000
ttt_random_ammo	696.754517 -728.270508 -127.968750	38.104 269.272 0.000
